time_sec,odom_to_base_x,odom_to_base_y,odom_to_base_yaw_deg,map_to_odom_x,map_to_odom_y,map_to_odom_yaw_deg,ips_x,ips_y,ips_z,distance_to_start_m,total_distance_m,near_start,left_start_zone,lap_candidate
1783970830.064353,7.190902,0.669333,21.165099,0.000000,0.000000,-0.000000,-15.794930,9.713083,0.058221,7.221986,7.282108,0,1,0
1783970830.114572,7.190902,0.669333,21.165099,0.000000,0.000000,-0.000000,-15.794930,9.713083,0.058221,7.221986,7.282108,0,1,0
1783970830.164522,7.505449,0.792487,21.606868,0.000000,0.000000,-0.000000,-15.633170,10.009630,0.058239,7.547172,7.619904,0,1,0
1783970830.214519,7.505449,0.792487,21.606868,0.000000,0.000000,-0.000000,-15.483680,10.286950,0.058255,7.851014,7.934950,0,1,0
1783970830.264609,7.798237,0.908801,21.701053,0.000000,0.000000,-0.000000,-15.483680,10.286950,0.058255,7.851014,7.934950,0,1,0
1783970830.314572,8.072946,1.017886,21.577208,0.000000,0.000000,-0.000000,-15.343390,10.547110,0.058268,8.136863,8.230525,0,1,0
1783970830.364808,8.072946,1.017886,21.577208,0.000000,0.000000,-0.000000,-15.343390,10.547110,0.058268,8.136863,8.230525,0,1,0
1783970830.414776,8.369187,1.134317,21.285055,0.000000,0.000000,-0.000000,-15.191330,10.826740,0.058282,8.445707,8.548825,0,1,0
1783970830.464478,8.369187,1.134317,21.285055,0.000000,0.000000,-0.000000,-15.191330,10.826740,0.058282,8.445707,8.548825,0,1,0
1783970830.514606,8.650915,1.243255,20.948772,0.000000,0.000000,-0.000000,-15.045570,11.091300,0.058293,8.739795,8.850881,0,1,0
1783970830.564637,8.650915,1.243255,20.948772,-0.000000,0.000000,-0.000000,-15.045570,11.091300,0.058293,8.739795,8.850881,0,1,0
1783970830.615276,8.948483,1.356275,20.607426,-0.000000,0.000000,-0.000000,-14.890300,11.369170,0.058304,9.050682,9.169190,0,1,0
1783970830.664373,8.948483,1.356275,20.607426,-0.000000,0.000000,-0.000000,-14.890300,11.369170,0.058304,9.050682,9.169190,0,1,0
1783970830.714342,9.234480,1.463145,20.342299,-0.000000,0.000000,-0.000000,-14.739940,11.634890,0.058313,9.349675,9.474502,0,1,0
1783970830.764456,9.234480,1.463145,20.342299,0.000000,0.000000,-0.000000,-14.739940,11.634890,0.058313,9.349675,9.474502,0,1,0
1783970830.814371,9.529979,1.572392,20.241357,0.000000,0.000000,-0.000000,-14.583830,11.908540,0.058322,9.658826,9.789549,0,1,0
1783970830.864436,9.529979,1.572392,20.241357,0.000000,0.000000,-0.000000,-14.583830,11.908540,0.058322,9.658826,9.789549,0,1,0
1783970830.914372,9.816321,1.678320,20.404521,0.000000,0.000000,-0.000000,-14.432600,12.173760,0.058330,9.958760,10.094856,0,1,0
1783970830.964665,9.816321,1.678320,20.404521,-0.000000,-0.000000,0.000000,-14.432600,12.173760,0.058330,9.958760,10.094856,0,1,0
1783970831.014369,10.123583,1.793230,20.627190,-0.000000,-0.000000,0.000000,-14.271120,12.459310,0.058338,10.281178,10.422902,0,1,0
1783970831.064500,10.123583,1.793230,20.627190,-0.000000,-0.000000,0.000000,-14.271120,12.459310,0.058338,10.281178,10.422902,0,1,0
1783970831.114366,10.423804,1.908305,21.487316,-0.000000,-0.000000,0.000000,-14.115140,12.740460,0.058346,10.597043,10.744422,0,1,0
1783970831.164523,10.423804,1.908305,21.487316,0.000000,0.000000,-0.000000,-14.115140,12.740460,0.058346,10.597043,10.744422,0,1,0
1783970831.214367,10.721189,2.030174,23.408412,0.000000,0.000000,-0.000000,-13.965700,13.024990,0.058354,10.911714,11.065809,0,1,0
1783970831.264650,10.721189,2.030174,23.408412,0.000000,0.000000,-0.000000,-13.965700,13.024990,0.058354,10.911714,11.065809,0,1,0
1783970831.314378,10.966238,2.146214,30.019711,0.000000,0.000000,-0.000000,-13.852600,13.271410,0.059005,11.174284,11.336945,0,1,0
1783970831.364562,10.966238,2.146214,30.019711,0.000000,0.000000,0.000000,-13.852600,13.271410,0.059005,11.174284,11.336945,0,1,0
1783970831.414371,11.133502,2.256871,36.772959,0.000000,0.000000,0.000000,-13.795620,13.463700,0.059193,11.359944,11.537499,0,1,0
1783970831.464499,11.133502,2.256871,36.772959,0.000000,0.000000,0.000000,-13.795620,13.463700,0.059193,11.359944,11.537499,0,1,0
1783970831.514359,11.299417,2.398322,43.641546,0.000000,0.000000,0.000000,-13.759470,13.678710,0.059167,11.551137,11.755527,0,1,0
1783970831.564522,11.299417,2.398322,43.641546,0.000000,-0.000000,0.000000,-13.759470,13.678710,0.059167,11.551137,11.755527,0,1,0
1783970831.614374,11.442062,2.551914,50.126698,0.000000,-0.000000,0.000000,-13.748950,13.888060,0.059140,11.723184,11.965141,0,1,0
1783970831.664387,11.442062,2.551914,50.126698,0.000000,-0.000000,0.000000,-13.748950,13.888060,0.059140,11.723184,11.965141,0,1,0
1783970831.714376,11.555771,2.705065,56.240487,0.000000,-0.000000,0.000000,-13.760310,14.078470,0.059120,11.868160,12.155890,0,1,0
1783970831.764724,11.555771,2.705065,56.240487,-0.000000,0.000000,0.000000,-13.760310,14.078470,0.059120,11.868160,12.155890,0,1,0
1783970831.814599,11.674351,2.914013,64.140860,-0.000000,0.000000,0.000000,-13.803810,14.314750,0.059099,12.032537,12.396141,0,1,0
1783970831.864478,11.674351,2.914013,64.140860,-0.000000,0.000000,0.000000,-13.803810,14.314750,0.059099,12.032537,12.396141,0,1,0
1783970831.914372,11.751754,3.103798,70.998571,-0.000000,0.000000,0.000000,-13.866530,14.509880,0.059083,12.154723,12.601103,0,1,0
1783970831.964743,11.751754,3.103798,70.998571,0.000000,-0.000000,0.000000,-13.866530,14.509880,0.059083,12.154723,12.601103,0,1,0
1783970832.014415,11.806556,3.305463,78.111440,0.000000,-0.000000,0.000000,-13.954200,14.699580,0.059070,12.260540,12.810082,0,1,0
1783970832.064457,11.806556,3.305463,78.111440,0.000000,-0.000000,0.000000,-13.954200,14.699580,0.059070,12.260540,12.810082,0,1,0
1783970832.114392,11.835922,3.512366,85.235119,0.000000,-0.000000,0.000000,-14.064720,14.876940,0.059058,12.346083,13.019058,0,1,0
