cell_x,cell_y,world_x_m,world_y_m,hits,boundary_label
220,416,6.039250,6.238369,100,outer
489,461,19.489250,8.488369,100,outer
141,272,2.089250,-0.961632,100,outer
503,130,20.189250,-8.061632,100,outer
231,574,6.589250,14.138369,100,outer
243,399,7.189250,5.388369,100,outer
493,202,19.689250,-4.461632,100,outer
42,266,-2.860750,-1.261632,100,outer
389,543,14.489250,12.588369,100,outer
349,566,12.489250,13.738369,100,outer
135,228,1.789250,-3.161632,100,outer
242,440,7.139250,7.438369,100,outer
136,193,1.839250,-4.911632,100,outer
221,417,6.089250,6.288369,100,outer
289,286,9.489250,-0.261632,100,outer
310,80,10.539250,-10.561632,100,outer
253,449,7.689250,7.888369,100,outer
19,282,-4.010751,-0.461632,100,outer
179,271,3.989250,-1.011632,100,outer
105,471,0.289250,8.988369,100,outer
224,422,6.239250,6.538369,100,outer
244,400,7.239250,5.438369,100,outer
151,172,2.589250,-5.961632,100,outer
9,354,-4.510751,3.138369,100,outer
347,4,12.389250,-14.361632,100,outer
149,248,2.489250,-2.161632,100,outer
374,366,13.739250,3.738369,100,outer
221,273,6.089250,-0.911632,100,outer
375,331,13.789250,1.988369,100,outer
195,135,4.789250,-7.811632,100,outer
443,57,17.189250,-11.711632,100,outer
6,348,-4.660751,2.838369,100,outer
496,212,19.839250,-3.961632,100,outer
556,343,22.839250,2.588369,100,outer
130,500,1.539250,10.438369,100,outer
378,336,13.939250,2.238369,100,outer
345,568,12.289250,13.838369,100,outer
130,271,1.539250,-1.011632,100,outer
419,517,15.989250,11.288369,100,outer
2,314,-4.860751,1.138368,100,outer
150,249,2.539250,-2.111632,100,outer
313,577,10.689250,14.288369,100,outer
281,403,9.089250,5.588369,100,outer
317,97,10.889250,-9.711632,100,outer
316,281,10.839250,-0.511632,100,outer
368,557,13.439250,13.288369,100,outer
389,351,14.489250,2.988369,100,outer
20,368,-3.960751,3.838369,100,outer
167,158,3.389250,-6.661632,100,outer
342,10,12.139250,-14.061632,100,outer
10,354,-4.460751,3.138369,100,outer
23,373,-3.810751,4.088369,100,outer
258,276,7.939250,-0.761632,100,outer
233,103,6.689250,-9.411632,100,outer
391,540,14.589250,12.438369,100,outer
134,506,1.739250,10.738369,100,outer
523,430,21.189250,6.938369,100,outer
264,90,8.239250,-10.061632,100,outer
216,279,5.839250,-0.611632,100,outer
444,57,17.239250,-11.711632,100,outer
265,580,8.289250,14.438369,100,outer
292,454,9.639250,8.138369,100,outer
224,399,6.239250,5.388369,100,outer
24,374,-3.760751,4.138369,100,outer
259,277,7.989250,-0.711632,100,outer
392,541,14.639250,12.488369,100,outer
458,486,17.939250,9.738369,100,outer
525,247,21.289250,-2.211632,100,outer
311,287,10.589250,-0.211632,100,outer
262,282,8.139250,-0.461632,100,outer
338,12,11.939250,-13.961632,100,outer
122,271,1.139250,-1.011632,100,outer
381,382,14.089250,4.538369,100,outer
319,407,10.989250,5.788369,100,outer
509,159,20.489250,-6.611632,100,outer
260,92,8.039250,-9.961632,100,outer
266,401,8.339250,5.488369,100,outer
145,520,2.289250,11.438369,100,outer
364,558,13.239250,13.338369,100,outer
49,403,-2.510750,5.588369,100,outer
357,290,12.889250,-0.061632,100,outer
376,389,13.839250,4.888369,100,outer
296,280,9.839250,-0.561632,100,outer
388,363,14.439250,3.588369,100,outer
483,106,19.189250,-9.261632,100,outer
279,456,8.989250,8.238369,100,outer
254,283,7.739250,-0.411632,100,outer
205,278,5.289250,-0.661632,100,outer
345,401,12.289250,5.488369,100,outer
50,404,-2.460750,5.638369,100,outer
57,263,-2.110750,-1.411632,100,outer
2,327,-4.860751,1.788369,100,outer
295,580,9.789250,14.438369,100,outer
252,93,7.639250,-9.911632,100,outer
377,353,13.889250,3.088369,100,outer
202,272,5.139250,-0.961632,100,outer
60,417,-1.960750,6.288369,100,outer
334,428,11.739250,6.838369,100,outer
300,286,10.039250,-0.261632,100,outer
426,511,16.339250,10.988369,100,outer
547,392,22.389250,5.038369,100,outer
