stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534367.109156,-16.032000,15.220200,-161.680998,-17.217900,14.263200,88,4,1,5.701460,-0.509547,-21.604671,13.911914,0.349783
1783534367.216684,-16.154400,15.174100,-157.615164,-17.310500,14.114600,89,2,1,5.701460,-0.509547,-21.620285,13.473989,0.349783
1783534367.244461,-16.278900,15.116800,-153.394053,-17.410600,13.943600,77,1,1,5.701460,-0.509547,-21.604821,13.018981,0.349783
1783534367.344179,-16.399200,15.050600,-149.444443,-17.516900,13.758800,84,2,1,5.701460,-0.509547,-21.567976,12.590918,0.349783
1783534367.368721,-16.511500,14.978800,-145.791126,-17.623500,13.573100,64,2,1,5.701460,-0.509547,-21.513043,12.194767,0.349783
1783534367.468998,-16.614300,14.903900,-142.478210,-17.729800,13.394700,59,1,1,5.701460,-0.509547,-21.446598,11.835485,0.349783
1783534367.494633,-16.717400,14.819100,-139.052547,-17.835600,13.227400,79,1,1,5.701460,-0.509547,-21.357715,11.467421,0.349783
1783534367.603702,-16.814300,14.729900,-136.111575,-17.952700,13.056100,55,1,1,5.701460,-0.509547,-21.276539,11.144554,0.349783
1783534367.629352,-16.919600,14.622100,-132.907272,-18.065400,12.903300,29,0,1,5.701460,-0.509547,-21.174454,10.792936,0.349783
1783534367.736157,-17.011400,14.518600,-130.549353,-18.175800,12.768400,35,0,1,5.701460,-0.509547,-21.105113,10.517626,0.349783
1783534367.761342,-17.109800,14.400100,-128.508636,-18.270400,12.664400,45,0,1,5.701460,-0.509547,-21.058443,10.255887,0.349783
1783534367.898477,-17.222400,14.254500,-126.233859,-18.367900,12.566300,27,0,1,5.701460,-0.509547,-21.003439,9.956824,0.349783
1783534367.928224,-17.339400,14.089500,-124.092422,-18.468400,12.475400,36,1,1,5.701460,-0.509547,-20.957210,9.653541,0.349783
1783534368.029372,-17.504900,13.834400,-122.047249,-18.572700,12.392400,33,1,1,5.701460,-0.509547,-20.962097,9.272157,0.349783
1783534368.052824,-17.625500,13.641700,-122.209270,-18.734800,12.283500,52,1,1,5.701460,-0.509547,-21.095585,9.089251,0.349783
1783534368.163033,-17.739300,13.464000,-123.407632,-18.862300,12.214200,37,1,1,5.701460,-0.509547,-21.303835,8.985120,0.349783
1783534368.187042,-17.864700,13.278500,-124.994971,-18.985400,12.159200,40,1,1,5.701460,-0.509547,-21.551935,8.900079,0.349783
1783534368.294574,-17.982100,13.115200,-126.847006,-19.120100,12.111300,47,1,1,5.701460,-0.509547,-21.808913,8.858232,0.349783
1783534368.359669,-18.119300,12.938400,-129.138546,-19.244200,12.077600,43,1,1,5.701460,-0.509547,-22.113265,8.837848,0.349783
1783534368.425427,-18.244900,12.788900,-131.989465,-19.384600,12.050900,57,1,1,5.701460,-0.509547,-22.437872,8.892073,0.349783
1783534368.491284,-18.350500,12.675500,-134.595897,-19.520700,12.036200,61,1,1,5.701460,-0.509547,-22.716343,8.973380,0.349783
