stamp_sec,ego_x_m,ego_y_m,ego_yaw_rad,ego_speed_mps,opponent_x_m,opponent_y_m,tracking_confidence,ego_s_m
1786996101.5984921,-13.9253,14.0345,1.8333251785547864,2.9182490595814383,-15.249087491858706,15.051846745453275,0.9826205968856812,8.887464737048347
1786996101.6886942,-13.9776,14.1937,1.9343049550238653,2.802076096216544,-15.40326133054722,15.139603952577465,0.9823921322822571,9.089129821077428
1786996101.761403,-14.0514,14.3578,2.0437349227697013,2.500277651182271,-15.53513468512131,15.203043429924444,0.9827255606651306,10.104087775614262
1786996101.8536642,-14.1313,14.4954,2.1416527091681643,2.2569468231638536,-15.6939929043743,15.252480751078089,0.9824054837226868,10.146567719085313
1786996101.927808,-14.2387,14.6422,2.2538033448182846,2.2569468231638536,-15.833626271327653,15.269568510969139,0.982695996761322,10.212505997897088
1786996102.0220184,-14.3441,14.7586,2.3509133905066384,2.2182875061694998,-15.98946845415956,15.275050614910352,0.982331395149231,10.271522009872422
1786996102.0972078,-14.4845,14.8837,2.467339999271026,2.2182875061694998,-16.12211536949748,15.247573753117987,0.9826182126998901,10.34927871599269
1786996102.1806438,-14.614,14.9762,2.56553432305215,2.11926591245144,-16.2607940113274,15.20508424163709,0.982572615146637,10.434925089331614
1786996102.2702453,-14.7667,15.0631,2.6740468812811833,2.0690209897807468,-16.411094735624385,15.127928308809727,0.9823744297027588,10.524682958789956
1786996102.356494,-14.9337,15.1351,2.7859967261762115,2.0690209897807468,-16.537724453668773,15.039100981063847,0.9823411107063293,10.620823059818953
1786996102.438583,-15.1077,15.1881,2.896894082837183,2.093834239605538,-16.659114813311053,14.929239162954609,0.9824318885803223,10.71687735410762
1786996102.5301619,-15.2826,15.2211,3.0040135798337753,2.0547592299650357,-16.776753184697956,14.80206680430719,0.9822289943695068,10.83231934432542
1786996102.6056776,-15.4517,15.2351,3.1051443780758157,2.093834239605538,-16.862933264090334,14.682399570998811,0.9825393557548523,10.948607723657554
1786996102.6886065,-15.6132,15.2326,-3.08341652772025,2.023398032936917,-16.95566403700362,14.544293062990565,0.9825329184532166,11.064588487347613
1786996102.7710147,-15.7882,15.2127,-2.9820264856604055,2.093834239605538,-17.038465253918865,14.403669929779735,0.9825444221496582,11.178469324884219
1786996102.8681202,-15.9565,15.1766,-2.8865161916227606,1.9745722440604474,-17.138514301992082,14.227437021465356,0.9821518659591675,11.317621291350745
1786996102.951884,-16.1479,15.1143,-2.7755288053427485,2.093834239605538,-17.232877663210754,14.025121618102343,0.9822705984115601,11.474950758516384
1786996103.036348,-16.3036,15.0454,-2.6842193709016677,1.9999422502603714,-17.342915650077018,13.799945750264982,0.9823193550109863,11.6269478338415
1786996103.121919,-16.4634,14.9564,-2.590100276160811,2.093834239605538,-17.49806760450726,13.543323025397136,0.9823168516159058,11.787584949835493
1786996103.2063146,-16.618,14.8504,-2.499978819592212,2.093834239605538,-17.634180403019645,13.289023071445628,0.9823469519615173,11.965156427031841
1786996103.3044853,-16.7444,14.7479,-2.4275421706722664,2.093834239605538,-17.82388646051666,13.013554089503254,0.9819893836975098,12.129370853663817
1786996103.385797,-16.8887,14.6116,-2.3487656211857395,2.093834239605538,-17.996002930269736,12.779142835012836,0.982227623462677,12.339092531824212
1786996103.4757679,-17.0093,14.4807,-2.2882841905317988,2.093834239605538,-18.19236833621475,12.56776908064407,0.9821334481239319,12.536168291683131
1786996103.561855,-17.1471,14.3154,-2.234553418428775,2.135321330292852,-18.35595839426239,12.374926212291578,0.9821791052818298,12.792960679383988
1786996103.6472385,-17.3027,14.106,-2.177823540354063,2.1461637108036293,-18.523848230917377,12.219231483574791,0.9822255969047546,13.100414384034023
1786996103.71897,-17.4513,13.8835,-2.1388219929003096,2.1461637108036293,-18.677639989630922,12.127471747483527,0.9822255969047546,13.410189722180165
1786996103.8083773,-17.5821,13.6744,-2.1206979992443524,2.230305725048466,-18.853794959943034,12.011887562317433,0.9824048280715942,13.662797501581924
1786996103.8997743,-17.7299,13.4335,-2.123944107614489,2.230305725048466,-19.037597745760305,11.936693605045352,0.9822130799293518,13.94246594572122
1786996103.9801028,-17.8858,13.1864,-2.150046640335211,2.400937060162221,-19.20750571084833,11.905789367334366,0.9823960661888123,14.203573821918779
1786996104.114051,-18.0352,12.9663,-2.1917424867233803,2.400937060162221,-19.455419589434026,11.844507836047367,0.9810382723808289,14.438582225494654
1786996104.1411188,-18.2102,12.7327,-2.2415484401489327,2.4167677079259122,-19.524588983534226,11.880820289282946,0.9831002950668335,14.694473622335563
1786996104.2623892,-18.3905,12.5185,-2.3241310225714518,2.4167677079259122,-19.771348400153784,11.892392261188753,0.9817923307418823,14.944146545406943
1786996104.3439176,-18.519,12.3886,-2.3764511138822315,2.4167677079259122,-19.9282432883945,11.956121275872176,0.9820047616958618,15.108766256490831
1786996104.4238825,-18.6501,12.2721,-2.4547691056654983,2.4167677079259122,-20.068646440962183,12.033019170845245,0.9820047616958618,15.271051644730479
1786996104.5114946,-18.7782,12.1769,-2.5441535197426317,2.4167677079259122,-20.189748205889014,12.129841386091256,0.9820094108581543,15.421947276594638
1786996104.6008751,-18.9381,12.0812,-2.6516758422220086,2.4167677079259122,-20.273849284349318,12.238611781711526,0.9819069504737854,15.602616283722325
1786996104.719453,-19.1054,12.004,-2.7595156839557053,2.31826395345294,-20.411539377870948,12.420338632504487,0.981067419052124,15.78424167336545
1786996104.75021,-19.2581,11.9517,-2.85464357034092,2.5154041023848777,-20.499239189671673,12.468743779137213,0.9829989075660706,15.945012349886854
1786996104.863486,-19.4599,11.9061,-2.976667198148506,2.31826395345294,-20.660899064625394,12.662756211185544,0.9819375872612,16.150878222443552
1786996104.949678,-19.6348,11.887,-3.080641757983229,2.2275361080874374,-20.79689001416329,12.792565215035095,0.9819884300231934,16.32482511173594
1786996105.0375428,-19.8273,11.8869,3.0903092024123153,2.1911497621144047,-20.932541415771382,12.922692657960017,0.9819499850273132,16.5136296988072
1786996105.1254015,-19.9921,11.9041,2.9939583145629536,2.1898581409189877,-21.05345532167958,13.050029846628787,0.9819499850273132,16.680455338647477
1786996105.2091324,-20.1687,11.9405,2.89083082422036,2.1538836110302784,-21.15526524203375,13.18348521103692,0.9820563793182373,16.879727582354388
1786996105.3343217,-20.3348,11.9926,2.792075716809155,2.096218082997461,-21.26729069367275,13.360924760691919,0.9810050129890442,17.073646918032313
1786996105.3775601,-20.495,12.0609,2.694098621689287,2.1538836110302784,-21.302813468496772,13.424626128222261,0.9826361536979675,17.23108581548
1786996105.4539347,-20.6761,12.162,2.579767409936167,2.1538836110302784,-21.36304221698415,13.569280556986238,0.982745349407196,17.391269499153278
1786996105.593714,-20.8432,12.2815,2.469422788173711,2.096218082997461,-21.435155286016364,13.812758838495213,0.9809808135032654,17.549199235617174
1786996105.6897702,-20.9874,12.41,2.3659395879892218,2.0413192873846104,-21.447078912589166,13.972990016400502,0.9811570644378662,17.6997074067135
1786996105.7790036,-21.1256,12.5623,2.2580810558895092,2.0413192873846104,-21.4455419641414,14.13337505640211,0.981398344039917,17.867397280311632
1786996105.860412,-21.2322,12.7059,2.1687676871977306,2.096218082997461,-21.43617136860525,14.285961668576986,0.9817514419555664,18.023183387762536
1786996105.9448223,-21.3227,12.853,2.0828504564165438,2.075535640512911,-21.42242547167327,14.444414629771877,0.9818909764289856,18.176005957260635
1786996106.029028,-21.4013,13.0093,1.9986735907185031,2.075535640512911,-21.393028719810637,14.602623455664986,0.9820041656494141,18.319973179357312
1786996106.1219034,-21.4675,13.1736,1.9165598838784947,2.0558577557513713,-21.357109654245996,14.77407966159717,0.9818582534790039,18.479115740620376
1786996106.2701058,-21.5236,13.3549,1.8317993586080037,2.0558577557513713,-21.298064890254448,15.002799566103311,0.980277419090271,18.651501513237555
1786996106.321864,-21.5615,13.5239,1.7574163351743914,2.075535640512911,-21.25394298147729,15.103234555720734,0.981991708278656,18.807605368075144
1786996106.4894345,-21.591,13.7308,1.6750992200144237,2.0558577557513713,-21.159357408867848,15.346535676207948,0.9797269701957703,18.980923162486807
1786996106.5838284,-21.6036,13.9394,1.5932517234653834,2.075535640512911,-21.085570498902698,15.493936225067392,0.9804511070251465,19.17083385197054
1786996106.6635942,-21.6005,14.1361,1.5229796150570734,2.075535640512911,-21.01330395916769,15.640035170915072,0.9811656475067139,19.347558585912306
1786996106.7515774,-21.5869,14.3073,1.4651681682630338,2.075535640512911,-20.916962689302967,15.817565343780423,0.9813174605369568,19.498309989439946
1786996106.837525,-21.5621,14.4857,1.4054335922816763,2.0558577557513713,-20.796272062303782,16.014349040632805,0.9813174605369568,19.65642137058786
1786996106.9361324,-21.5269,14.6624,1.3486962396035913,2.0487141344602553,-20.644918743795742,16.223539169921242,0.9812724590301514,19.8136427630974
