time_sec,s_m,lateral_offset_m,ego_x_m,ego_y_m,ego_heading_rad,evader_x_m,evader_y_m,engagement_radius_m
2.244712609225418,75.95203388855236,-0.09308448035471503,-4.558428928635397,16.183178152344787,1.9258606083977596,-5.3042644228526195,17.66764683171751,0.40224370722237535
2.2882554259203056,76.1213255914957,-0.10576013543065636,-4.617846324568932,16.34226109138084,1.931024610416068,-5.37718646356375,17.787229997474654,0.40224370722237535
2.3321507471646044,76.29061729443904,-0.11953693540011556,-4.678629915005806,16.502298497565786,1.9369525257720095,-5.450538709012782,17.907434552071223,0.40224370722237535
2.3763783019136206,76.45990899738239,-0.13436986787588912,-4.740892865091062,16.663156354441494,1.9437207481601961,-5.530963338350171,18.023426801640458,0.40224370722237535
2.4209168623917603,76.62920070032573,-0.15020211896009475,-4.804759315750775,16.824689324852155,1.9514005454877534,-5.612232582158333,18.140016272110934,0.40224370722237535
2.465744184077871,76.79849240326908,-0.1669641230193742,-4.870363106464158,16.986740140428292,1.960076392750795,-5.701005467134753,18.25559196267833,0.40224370722237535
2.510838739510276,76.96778410621242,-0.18457250416741133,-4.937854653053495,17.149143077775182,1.9698429698792188,-5.790196809970896,18.371576057552943,0.40224370722237535
2.5561807475148455,77.13707580915576,-0.20292891490619597,-5.007400367519578,17.311727202038824,1.9807866301273171,-5.879158930287769,18.486372592660214,0.40224370722237535
2.60174863556572,77.3063675120991,-0.22191879009427334,-5.079175519275405,17.474302921997804,1.9930033664435667,-5.969332927976154,18.600831592274012,0.40224370722237535
2.647520114699173,77.47565921504244,-0.2414100496849325,-5.153368724822402,17.636662857711812,2.006588554018046,-6.062446490586955,18.71279759194268,0.40224370722237535
2.693472686499245,77.64495091798578,-0.2612518005853031,-5.230177152477215,17.798584111493906,2.021609876733926,-6.157692426956122,18.824754981074577,0.40224370722237535
2.739579600041055,77.81424262092914,-0.2812731053608896,-5.309793374640775,17.959814993410852,2.0381207324503268,-6.256362210003159,18.93629365949703,0.40224370722237535
2.7858110815663903,77.98353432387248,-0.30128190202512933,-5.392404755932316,18.1200786867951,2.056137944464959,-6.356405174186878,19.04644291790968,0.40224370722237535
2.8321327121138835,78.15282602681582,-0.3210641734337638,-5.4781762735535,18.279073165439854,2.0756335249769067,-6.457657666411693,19.155257436832674,0.40224370722237535
2.8785051114327445,78.32211772975916,-0.3403834755278543,-5.567243941023008,18.43647242137286,2.0965337230951344,-6.628460849948808,19.334442241020625,0.40224370722237535
2.9248698071695354,78.4914094327025,-0.35898093966816297,-5.659672483165295,18.591886943252863,2.118681554265616,-6.8371533883625055,19.551957999601235,0.40224370722237535
2.9711278148926215,78.66070113564585,-0.3765758646366248,-5.755389650111032,18.744807287935984,2.141859540386015,-6.867975267187987,19.578629550928795,0.40224370722237535
3.0171051712214543,78.82999283858919,-0.39286700788380624,-5.854096070848673,18.894506067363,2.1658965290092564,-6.879020007956478,19.58385580154978,0.40224370722237535
3.062528456658153,78.99928454153253,-0.4075346729086553,-5.955204608214997,19.039969032719036,2.190881387938841,-6.985903137154042,19.68621383920227,0.40224370722237535
3.10708061328296,79.16857624447587,-0.42024367020065495,-6.057991373463566,19.18005874921221,2.2173990387587508,-7.09025748249417,19.785676655311317,0.40224370722237535
3.150565420863849,79.33786794741921,-0.4306472031744265,-6.162042441330658,19.313978119035607,2.2464212325885615,-7.189424095491884,19.877528852310007,0.40224370722237535
3.1931036438467904,79.50715965036257,-0.43839169848089543,-6.267777287691659,19.441816468408035,2.2786042358663487,-7.286432170353313,19.967381722477516,0.40224370722237535
3.235193423721596,79.67645135330591,-0.4431225627649952,-6.376600011667677,19.564710258750605,2.3135100051427666,-7.388799541834878,20.05869928445564,0.40224370722237535
3.277509516206413,79.84574305624925,-0.4444908064304057,-6.490364455462189,19.684265532282758,2.3497923639825666,-7.492206354388998,20.150692280957436,0.40224370722237535
3.320558866678642,80.01503475919259,-0.44216043066035154,-6.6104627650044,19.801586785546146,2.386368947391704,-7.599853363053212,20.244715896097297,0.40224370722237535
3.3644767910633484,80.18432646213593,-0.43581642856618413,-6.73728071392139,19.91671286305978,2.423173208014449,-7.709716074696897,20.339561942550073,0.40224370722237535
3.4090851952720524,80.35361816507928,-0.4251732069722742,-6.870340503576224,20.028791493093287,2.460771053251359,-7.819824377367686,20.429149966455302,0.40224370722237535
3.454089939451866,80.52290986802262,-0.409983194380046,-7.0088053615095385,20.13665357061634,2.4996074286746177,-7.93086358365535,20.518986724711933,0.40224370722237535
3.4992505844197948,80.69220157096596,-0.39004536567564607,-7.151920957737165,20.23931064798816,2.5396664494164805,-8.04203921097203,20.606215022464713,0.40224370722237535
3.544434619342475,80.8614932739093,-0.3652133877914917,-7.299163956416239,20.336120719214772,2.58057082830721,-8.153498262781222,20.693526913053578,0.40224370722237535
3.5896078282135147,81.03078497685264,-0.3354030752713222,-7.450233207146768,20.42676228488557,2.6217397073116113,-8.267696771123617,20.781293407704275,0.40224370722237535
3.6348189180045747,81.200076679796,-0.30059884257731934,-7.605030252619145,20.511188366571695,2.6624249253075623,-8.382100704240996,20.86915879306675,0.40224370722237535
3.6802010857074547,81.36936838273934,-0.26085885241413714,-7.763693030505384,20.58962141913975,2.7016714896285974,-8.506018846520835,20.959420518732653,0.40224370722237535
3.7259738438383385,81.53866008568268,-0.21631858686467656,-7.926626517183373,20.66255865416981,2.738412159111063,-8.629471667844278,21.047858493584272,0.40224370722237535
3.772386169185575,81.70795178862602,-0.16719261028643234,-8.094336414255991,20.73065646187481,2.772021465172394,-8.751624890840567,21.132398677587553,0.40224370722237535
3.8195657166116344,81.87724349156936,-0.11377434824904815,-8.266946721573916,20.794388465401664,2.8030078463258827,-8.878724406487676,21.21977634850693,0.40224370722237535
3.8673538006689587,82.0465351945127,-0.05643377293333077,-8.443643067379432,20.853663192329577,2.833027607030814,-9.010966207058978,21.310004140983484,0.40224370722237535
